runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
KB_LOPSIDED_SQUAT,SQUAT,DUMBBELL_SQUAT,Dumbbell Squat,heuristic,med,inferred,weighted,KB,,same,Kb Lopsided Squat,
KB_STRAIGHT_LEG_DEADLIFT,DEADLIFT,STRAIGHT_LEG_DEADLIFT,Straight-leg Deadlift,heuristic,med,inferred,weighted,KB,,same,Kb Straight Leg Deadlift,
KB_SWINGS,HIP_RAISE,KETTLEBELL_SWING,Kettlebell Swing,curated,high,verified,weighted,KB,HAMSTRING,same,Kb Swings,
KB_WINDMILLS,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,weighted,KB,,relaxed,Kb Windmills,no close match; generic same-muscle-group placeholder — see description
KB_WINDMILLS_1,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,weighted,KB,,relaxed,Kb Windmills 1,no close match; generic same-muscle-group placeholder — see description
KNEELING_HAMSTRING_STRETCH,LEG_CURL,LEG_CURL,Leg Curl,fallback,low,inferred,bodyweight,BW,,relaxed,Kneeling Hamstring Stretch,no close match; generic same-muscle-group placeholder — see description
KNEELING_HIP_FLEXOR,WARM_UP,STRETCH_HIP_FLEXOR_AND_QUAD,Hip Flexor and Quad Stretch,heuristic,med,inferred,bodyweight,BW,,same,Kneeling Hip Flexor,
KNEELING_HIP_FLEXOR_STRETCH,WARM_UP,STRETCH_HIP_FLEXOR_AND_QUAD,Hip Flexor and Quad Stretch,heuristic,med,inferred,bodyweight,BW,,same,Kneeling Hip Flexor Stretch,
KNEE_DRIVE,WARM_UP,WALKING_HIGH_KNEES,Walking High Knees,curated,med,verified,bodyweight,BW,FULL_BODY,same,Knee Drive,running-drill knee drive
LATERAL_LEG_RAISE,LEG_RAISE,LEG_RAISE,Leg Raise,heuristic,med,inferred,bodyweight,BW,,same,Lateral Leg Raise,
LATERAL_WALK,HIP_STABILITY,LATERAL_WALKS_WITH_BAND_AT_ANKLES,Lateral Walks with Band at Ankles,curated,high,verified,bodyweight,BW,GLUTES,relaxed,Lateral Walk,
LATERAL_WALK_1,RUN,WALK,Walk,heuristic,med,inferred,bodyweight,BW,,same,Lateral Walk 1,
LL_COPENHAGEN_PLANK,PLANK,PLANK,Plank,heuristic,med,inferred,bodyweight,BW,,same,Ll Copenhagen Plank,
LUNGE_AND_PRESS,LUNGE,WEIGHTED_SIDE_LUNGE_AND_PRESS,Weighted Side Lunge and Press,heuristic,high,verified,weighted,DB,FULL_BODY,same,Lunge And Press,
LUNGE_AND_PRESS_1,LUNGE,SIDE_LUNGE_AND_PRESS,Side Lunge and Press,heuristic,med,inferred,bodyweight,BW,,same,Lunge And Press 1,
LUNGE_CALF_RAISE,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Lunge Calf Raise,
LUNGE_HOLD_CALF_RAISE,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,high,verified,bodyweight,BW,WARM_UP,same,Lunge Hold Calf Raise,
LYING_GLUTE_STRETCH,HIP_STABILITY,LYING_ABDUCTION_STRETCH,Lying Abduction Stretch,heuristic,med,inferred,bodyweight,BW,,same,Lying Glute Stretch,
MOUNTAIN_CLIMBER,PLANK,MOUNTAIN_CLIMBER,Mountain Climber,enum-exact,high,verified,bodyweight,BW,CORE,same,Mountain Climber,
NORDIC_CURL,CURL,CURL,Curl,heuristic,med,inferred,bodyweight,BW,,relaxed,Nordic Curl,
OVERHEAD_SQUAT,SQUAT,OVERHEAD_SQUAT,Overhead Squat,enum-exact,med,inferred,bodyweight,BW,,same,Overhead Squat,
PIGEON_STRETCH,WARM_UP,STRETCH_PIGEON_POSE,Pigeon Pose Stretch,heuristic,med,inferred,bodyweight,BW,,same,Pigeon Stretch,
PLANK,PLANK,PLANK,Plank,enum-exact,high,verified,bodyweight,BW,CORE,same,Plank,
PLANK_ON_SWISSBALL,PLANK,PLANK,Plank,heuristic,high,verified,bodyweight,SWISSBALL,CORE,same,Plank On Swissball,
PLANK_PULL_THROUGH,PLANK,WEIGHTED_PLANK,Weighted Plank,heuristic,med,verified,weighted,KB,CORE,same,Plank Pull Through,
PLANK_PULL_THROUGH_1,PLANK,PLANK,Plank,heuristic,med,inferred,bodyweight,BW,,same,Plank Pull Through 1,
PLANK_TWIST,PLANK,PLANK_KNEE_TWIST,Plank Knee Twist,heuristic,high,verified,bodyweight,BW,CORE,same,Plank Twist,
POGO_JUMPS,CARDIO,JUMP_ROPE,Jump Rope,curated,med,verified,bodyweight,BW,PLYOS,same,Pogo Jumps,ankle pogo hops ≈ jump-rope bounce (no rope)
PRESS-UP_POSITION_WITH_SINGLE_ARM_EXTENSIONS,CORE,GHD_BACK_EXTENSIONS,GHD Back Extensions,heuristic,med,verified,bodyweight,BW,CORE,same,Press-Up Position With Single Arm Extensions,
PRESS_UP,PUSH_UP,PUSH_UP,Push-up,curated,high,verified,bodyweight,BW,WARM_UP,same,Press Up,press-up = push-up
PRESS_UP_POSITION_DIAGONAL_TOE_TAP,WARM_UP,WALKOUT_FROM_PUSH_UP_POSITION,Walkout from Push-up Position,heuristic,high,verified,bodyweight,BW,WARM_UP,same,Press Up Position Diagonal Toe Tap,warmup drill; no equivalent
PRESS_UP_POSITION_SHOULDER_TAP,PUSH_UP,SHOULDER_PUSH_UP,Shoulder Push-up,heuristic,med,inferred,bodyweight,BW,,same,Press Up Position Shoulder Tap,
PRESS_UP_POSITION_WALK_OUT,WARM_UP,WALKOUT_FROM_PUSH_UP_POSITION,Walkout from Push-up Position,curated,high,verified,bodyweight,BW,WARM_UP,same,Press Up Position Walk Out,
PULL_UP,PULL_UP,PULL_UP,Pull-up,enum-exact,high,verified,bodyweight,PUB,BACK,same,Pull Up,
PUSH_PRESS,SHOULDER_PRESS,BARBELL_PUSH_PRESS,Barbell Push Press,heuristic,high,verified,weighted,BARBELL,SHOULDERS,same,Push Press,
RAISED_LEG_HIP_THRUST,HIP_RAISE,BARBELL_HIP_THRUST_WITH_BENCH,Barbell Hip Thrust with Bench,curated,med,verified,weighted,BARBELL,HAMSTRING,same,Raised Leg Hip Thrust,
REAR_LEG_RAISED_LUNGE,LUNGE,LUNGE,Lunge,curated,med,verified,bodyweight,STEP,QUADS,same,Rear Leg Raised Lunge,rear-foot-elevated split squat (bodyweight); no exact match
REVERSE_FLY,FLYE,INCLINE_REVERSE_FLYE,Incline Reverse Fly,heuristic,high,verified,weighted,DB,BACK,same,Reverse Fly,
REVERSE_LUNGE,LUNGE,DUMBBELL_REVERSE_LUNGE,Dumbbell Reverse Lunge,curated,high,verified,weighted,DB,QUADS,same,Reverse Lunge,
REVERSE_LUNGE_1,LUNGE,REVERSE_BOX_LUNGE,Reverse Box Lunge,heuristic,med,inferred,bodyweight,BW,,same,Reverse Lunge 1,
REVERSE_LUNGE_2,LUNGE,REVERSE_BOX_LUNGE,Reverse Box Lunge,heuristic,med,inferred,bodyweight,BW,,same,Reverse Lunge 2,
ROLL_DOWN,SIT_UP,THREE_PART_ROLL_DOWN,Three-part Roll-down,heuristic,med,inferred,bodyweight,BW,,same,Roll Down,
ROLL_DOWN_1,SIT_UP,THREE_PART_ROLL_DOWN,Three-part Roll-down,heuristic,med,inferred,bodyweight,BW,,same,Roll Down 1,
RUSSIAN_TWIST,CORE,RUSSIAN_TWIST,Russian Twist,enum-exact,high,verified,bodyweight,BW,CORE,same,Russian Twist,
RUSSIAN_TWIST_1,CORE,RUSSIAN_TWIST,Russian Twist,heuristic,med,inferred,bodyweight,BW,,same,Russian Twist 1,
RUSSIAN_TWIST_2,CORE,RUSSIAN_TWIST,Russian Twist,heuristic,med,inferred,bodyweight,BW,,same,Russian Twist 2,
SEATED_BARBELL_PRESS,SHOULDER_PRESS,SEATED_BARBELL_SHOULDER_PRESS,Seated Barbell Shoulder Press,heuristic,high,verified,weighted,BARBELL,SHOULDERS,same,Seated Barbell Press,
SEATED_CALF_RAISE,CALF_RAISE,SEATED_CALF_RAISE,Seated Calf Raise,enum-exact,high,verified,weighted,DB,CALVES,relaxed,Seated Calf Raise,
SEATED_CALF_RAISE_1,CALF_RAISE,SEATED_CALF_RAISE,Seated Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Seated Calf Raise 1,
SEATED_GLUTE_STRETCH,WARM_UP,BICEPS_STRETCH,Biceps Stretch,heuristic,med,inferred,bodyweight,BW,,same,Seated Glute Stretch,
SEATED_HAMSTRING_STRETCH,LEG_CURL,LEG_CURL,Leg Curl,fallback,low,inferred,bodyweight,BW,,relaxed,Seated Hamstring Stretch,no close match; generic same-muscle-group placeholder — see description
SEATED_SPINAL_TWIST,WARM_UP,STRETCH_LUNGE_WITH_SPINAL_TWIST,Lunge with Spinal Twist Stretch,heuristic,med,inferred,bodyweight,BW,,same,Seated Spinal Twist,
SEATED_START_BOX_JUMP,PLYO,BOX_JUMP,Box Jump,heuristic,med,inferred,bodyweight,BW,,same,Seated Start Box Jump,
SIDEPLANK_HIP_FLEXORS,PLANK,SIDE_PLANK,Side Plank,curated,med,verified,bodyweight,BW,CORE,same,Sideplank Hip Flexors,
SIDEPLANK_HIP_FLEXORS_1,PLANK,PLANK,Plank,fallback,low,inferred,bodyweight,BW,,same,Sideplank Hip Flexors 1,no close match; generic same-muscle-group placeholder — see description
SIDE_BEND,CORE,SIDE_BEND,Side Bend,enum-exact,med,inferred,bodyweight,BW,,same,Side Bend,
SIDE_LEG_SWINGS,WARM_UP,SIDE_TO_SIDE_LEG_SWINGS,Side-to-Side Leg Swings,heuristic,high,verified,bodyweight,BW,WARM_UP,same,Side Leg Swings,
SIDE_LUNGE,LUNGE,SIDE_LUNGE,Side Lunge,enum-exact,high,verified,bodyweight,BW,WARM_UP,same,Side Lunge,
SIDE_PLANK,PLANK,SIDE_PLANK,Side Plank,enum-exact,high,verified,bodyweight,BW,CORE,same,Side Plank,
SIDE_PLANK_LEG_RAISE,BANDED_EXERCISES,SIDE_PLANK_LEG_LIFTS,Banded Side Plank Leg Lifts,heuristic,high,verified,banded,BAND,EXTRA,same,Side Plank Leg Raise,
SIDE_PLANK_LEG_RAISE_1,PLANK,SIDE_PLANK_WITH_LEG_LIFT,Side Plank with Leg Lift,heuristic,med,inferred,bodyweight,BW,,same,Side Plank Leg Raise 1,
SINGLE_ARM_BENCH_PRESS,BENCH_PRESS,SINGLE_ARM_DUMBBELL_BENCH_PRESS,Single-arm Dumbbell Bench Press,heuristic,high,verified,weighted,DB,CHEST,same,Single Arm Bench Press,
SINGLE_ARM_CLEAN,OLYMPIC_LIFT,DUMBBELL_CLEAN,Dumbbell Clean,curated,med,verified,weighted,DB,FULL_BODY,same,Single Arm Clean,single-arm dumbbell clean
SINGLE_ARM_CLEAN_1,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Arm Clean 1,
SINGLE_ARM_CLEAN_AND_PRESS,OLYMPIC_LIFT,CLEAN_AND_PRESS,Clean and Press,heuristic,high,verified,weighted,DB,FULL_BODY,same,Single Arm Clean And Press,
SINGLE_ARM_CLEAN_AND_PRESS_1,OLYMPIC_LIFT,CLEAN_AND_PRESS,Clean and Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Arm Clean And Press 1,
SINGLE_ARM_ROW,ROW,ONE_ARM_BENT_OVER_ROW,One-arm Bent-over Row,curated,high,verified,weighted,DB,BACK,same,Single Arm Row,
SINGLE_ARM_ROW_1,ROW,SINGLE_ARM_CABLE_ROW,Single-arm Cable Row,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Arm Row 1,
SINGLE_ARM_SNATCH,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Arm Snatch,
SINGLE_ARM_SNATCH_1,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Arm Snatch 1,
SINGLE_LEG_BARBELL_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE,Single-leg Standing Dumbbell Calf Raise,heuristic,med,inferred,weighted,BARBELL,,same,Single Leg Barbell Calf Raise,
SINGLE_LEG_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_CALF_RAISE,Single-leg Standing Calf Raise,curated,high,verified,bodyweight,BW,CALVES,same,Single Leg Calf Raise,
SINGLE_LEG_CALF_RAISE_1,CALF_RAISE,SINGLE_LEG_DONKEY_CALF_RAISE,Single-leg Donkey Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Single Leg Calf Raise 1,
SINGLE_LEG_GLUTE_BRIDGE,HIP_RAISE,SINGLE_LEG_HIP_RAISE,Single-leg Hip Raise,curated,high,verified,bodyweight,BW,GLUTES,same,Single Leg Glute Bridge,
SINGLE_LEG_HAMSTRING_BRIDGE,HIP_RAISE,BRIDGE_WITH_LEG_EXTENSION,Bridge with Leg Extension,heuristic,med,inferred,bodyweight,BW,,same,Single Leg Hamstring Bridge,
SINGLE_LEG_HIGH_KNEE,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,Single-leg Bent-knee Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Single Leg High Knee,
SINGLE_LEG_RAISED_HIP_THRUST,HIP_RAISE,SINGLE_LEG_HIP_RAISE,Single-leg Hip Raise,heuristic,med,inferred,bodyweight,BW,,same,Single Leg Raised Hip Thrust,
SINGLE_LEG_SQUAT,SQUAT,ELEVATED_SINGLE_LEG_SQUAT,Elevated Single-leg Squat,heuristic,high,verified,bodyweight,BOX,QUADS,same,Single Leg Squat,
SINGLE_LEG_STRAIGHT_LEG_DEADLIFT,DEADLIFT,SINGLE_LEG_BARBELL_STRAIGHT_LEG_DEADLIFT,Single-leg Barbell Straight-leg Deadlift,heuristic,high,verified,bodyweight,BW,HAMSTRING,relaxed,Single Leg Straight Leg Deadlift,
SINGLE_LEG_STRAIGHT_LEG_DEADLIFT_1,DEADLIFT,SINGLE_LEG_BARBELL_STRAIGHT_LEG_DEADLIFT,Single-leg Barbell Straight-leg Deadlift,heuristic,med,inferred,bodyweight,BW,,relaxed,Single Leg Straight Leg Deadlift 1,
SL_BOX_JUMP,PLYO,BOX_JUMP,Box Jump,heuristic,med,inferred,bodyweight,BW,,same,Sl Box Jump,
SL_COPENHAGEN_PLANK,PLANK,SIDE_PLANK,Side Plank,curated,med,verified,bodyweight,STEP,EXTRA,same,Sl Copenhagen Plank,Copenhagen plank; using side plank
SL_DB_RDL_KNEE_DRIVE,DEADLIFT,SINGLE_LEG_ROMANIAN_DEADLIFT_WITH_DUMBBELL,Single-leg Romanian Deadlift with Dumbbell,curated,high,verified,weighted,DB,HAMSTRING,same,Sl Db Rdl Knee Drive,single-leg DB RDL (+knee drive)
SL_DB_RDL_KNEE_DRIVE_1,DEADLIFT,SINGLE_LEG_RDL_CIRCUIT,Single-leg RDL Circuit,heuristic,med,inferred,weighted,DB,,same,Sl Db Rdl Knee Drive 1,
SL_ISO_HAMSTRING_HOLD,LEG_CURL,LEG_CURL,Leg Curl,curated,low,verified,bodyweight,STEP,HAMSTRING,relaxed,Sl Iso Hamstring Hold,isometric hamstring; generic hamstring
SL_ISO_HAMSTRING_HOLD_1,LEG_CURL,LEG_CURL,Leg Curl,fallback,low,inferred,bodyweight,BW,,relaxed,Sl Iso Hamstring Hold 1,no close match; generic same-muscle-group placeholder — see description
SQUAT_THRUSTS,TOTAL_BODY,SQUAT_THRUSTS,Squat Thrusts (Up-downs),enum-exact,high,verified,bodyweight,BW,FULL_BODY,same,Squat Thrusts,
SQUAT_TO_CALF_RAISE,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,high,verified,bodyweight,BW,WARM_UP,same,Squat To Calf Raise,
STAGGERED_HIP_THURSTS,HIP_RAISE,WEIGHTED_HIP_RAISE,Weighted Hip Raise,heuristic,high,verified,weighted,BARBELL,GLUTES,same,Staggered Hip Thursts,
STAGGERED_HIP_THURSTS_1,CRUNCH,HIP_CROSSOVER,Hip Crossover,heuristic,med,inferred,bodyweight,BW,,same,Staggered Hip Thursts 1,
STAGGERED_RDLS,LEG_CURL,STAGGERED_STANCE_GOOD_MORNING,Staggered-stance Good Morning,heuristic,med,verified,weighted,DB,HAMSTRING,same,Staggered Rdls,
STAGGERED_RDLS_1,DEADLIFT,DEADLIFT,Deadlift,fallback,low,inferred,bodyweight,BW,,relaxed,Staggered Rdls 1,no close match; generic same-muscle-group placeholder — see description
STAGGERED_RDLS_2,DEADLIFT,DEADLIFT,Deadlift,fallback,low,inferred,bodyweight,BW,,relaxed,Staggered Rdls 2,no close match; generic same-muscle-group placeholder — see description
STANDING_BARBELL_PRESS,SHOULDER_PRESS,BARBELL_SHOULDER_PRESS,Barbell Shoulder Press,curated,high,verified,weighted,BARBELL,SHOULDERS,same,Standing Barbell Press,
STANDING_CALF_STRETCH,CALF_RAISE,STANDING_CALF_RAISE,Standing Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Standing Calf Stretch,
STANDING_DIAGONAL_TOE_TAPS,HIP_STABILITY,STANDING_ADDUCTION,Standing Adduction,heuristic,med,inferred,bodyweight,BW,,same,Standing Diagonal Toe Taps,
STANDING_DOUBLE_ARM_SHOULDER_PRESS,SHOULDER_PRESS,SWISS_BALL_DUMBBELL_SHOULDER_PRESS,Swiss Ball Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,same,Standing Double Arm Shoulder Press,
STANDING_DOUBLE_ARM_SHOULDER_PRESS_1,SHOULDER_PRESS,SWISS_BALL_DUMBBELL_SHOULDER_PRESS,Swiss Ball Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,same,Standing Double Arm Shoulder Press 1,
STANDING_FRONT_RAISE,LATERAL_RAISE,FRONT_RAISE,Front Raise,heuristic,high,verified,weighted,DB,SHOULDERS,same,Standing Front Raise,
STANDING_FRONT_RAISE_1,LATERAL_RAISE,FRONT_RAISE,Front Raise,heuristic,med,inferred,bodyweight,BW,,relaxed,Standing Front Raise 1,
STANDING_HAMSTRING_STRETCH,LEG_CURL,LEG_CURL,Leg Curl,fallback,low,inferred,bodyweight,BW,,relaxed,Standing Hamstring Stretch,no close match; generic same-muscle-group placeholder — see description
STANDING_MARCH,HIP_STABILITY,STANDING_ADDUCTION,Standing Adduction,heuristic,med,verified,banded,BAND,WARM_UP,relaxed,Standing March,warmup march; no equivalent
STANDING_MARCH_1,CARDIO,CARDIO,Cardio,fallback,low,inferred,bodyweight,BW,,same,Standing March 1,no close match; generic same-muscle-group placeholder — see description
STANDING_QUAD_STRETCH,WARM_UP,STRETCH_QUAD,Quad Stretch,heuristic,med,inferred,bodyweight,BW,,same,Standing Quad Stretch,
STANDING_SIDE_BEND,CORE,CABLE_SIDE_BEND,Cable Side Bend,heuristic,high,verified,weighted,KB,CORE,same,Standing Side Bend,
STANDING_SIDE_BEND_1,CORE,SIDE_BEND,Side Bend,heuristic,med,inferred,bodyweight,BW,,same,Standing Side Bend 1,
STANDING_SIDE_RAISE,LATERAL_RAISE,LATERAL_RAISE,Lateral Raise,curated,high,verified,weighted,DB,SHOULDERS,same,Standing Side Raise,standing dumbbell lateral raise
STANDING_SIDE_RAISE_1,LATERAL_RAISE,SIDE_LYING_LATERAL_RAISE,Side-lying Lateral Raise,heuristic,med,inferred,bodyweight,BW,,relaxed,Standing Side Raise 1,
STANDING_SINGLE_ARM_SHOULDER_PRESS,SHOULDER_PRESS,SINGLE_ARM_DUMBBELL_SHOULDER_PRESS,Single-arm Dumbbell Shoulder Press,heuristic,high,verified,weighted,DB,SHOULDERS,same,Standing Single Arm Shoulder Press,
STANDING_SINGLE_ARM_SHOULDER_PRESS_1,SHOULDER_PRESS,SINGLE_ARM_DUMBBELL_SHOULDER_PRESS,Single-arm Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Standing Single Arm Shoulder Press 1,
STATIC_LUNGE,LUNGE,BARBELL_SPLIT_SQUAT,Barbell Split Squat,curated,high,verified,weighted,BARBELL,QUADS,same,Static Lunge,static lunge = split squat
