exerciseId,title_it,requires,requires2,unilateral,muscleGroupBroad,muscleGroupSpecific,gradeTypes,youtubeId,lottie,strengthTypes
SINGLE_LEG_SQUAT,Squat a gamba singola,BOX,,True,QUADS,UNILATERAL_QUAD,REPS,8twCe4C0c1c,SINGLE_LEG_SQUAT,LEGS_AND_CORE
SINGLE_LEG_STRAIGHT_LEG_DEADLIFT,Stacco a gamba singola dritta,BW,,True,HAMSTRING,UNILATERAL_HAM,REPS,fkej6PUmvmc,SINGLE_LEG_STRAIGHT_LEG_DEADLIFT_1,LEGS_AND_CORE
SL_COPENHAGEN_PLANK,Plank Copenaghen a leva corta,STEP,,True,EXTRA,EXTRA,SECONDS,bU8aazv5voo,SL_COPENHAGEN_PLANK,FULL_BODY|LEGS_AND_CORE
SL_DB_RDL_KNEE_DRIVE,Stacco da terra a gamba singola dritta con knee drive,DB,,True,HAMSTRING,UNILATERAL_HAM,REPS,7Q-aaVsjTOw,SL_DB_RDL_KNEE_DRIVE_1,FULL_BODY|LEGS_AND_CORE
SL_ISO_HAMSTRING_HOLD,Trattenuta isometrica dei muscoli ischiocrurali a gamba singola,STEP,,True,HAMSTRING,UNILATERAL_HAM,SECONDS,LRUtWMiLfM4,SL_ISO_HAMSTRING_HOLD,FULL_BODY|LEGS_AND_CORE
SQUAT_THRUSTS,Squat thrust,BW,,False,FULL_BODY,BILATERAL_FB,REPS,pwFi6tmVKyo,SQUAT_THRUSTS,LEGS_AND_CORE
SQUAT_TO_CALF_RAISE,Squat e sollevamento dei polpacci,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,1W0DlNuJbsc,SQUAT_TO_CALF_RAISE,FULL_BODY|LEGS_AND_CORE
STAGGERED_HIP_THURSTS,Hip thrust con stacco sfalsato (B stance),BARBELL,BENCH,True,GLUTES,UNILATERAL_GLUTE,REPS,uyPrniW_ryo,STAGGERED_HIP_THURSTS,FULL_BODY|LEGS_AND_CORE
STAGGERED_RDLS,Stacchi monopodalici in posizione sfalsata,DB,,True,HAMSTRING,UNILATERAL_HAM,REPS,Li9jJhbSxBA,STAGGERED_RDLS,FULL_BODY|LEGS_AND_CORE
STANDING_BARBELL_PRESS,Press con bilanciere in piedi,BARBELL,,False,SHOULDERS,BILATERAL_SHLD,REPS,JHXtu-ll9Ik,STANDING_BARBELL_PRESS,FULL_BODY
STANDING_FRONT_RAISE,Alzate frontali in stazione eretta,DB,,False,SHOULDERS,BILATERAL_SHLD,REPS,vOqq8BfT3gQ,STANDING_FRONT_RAISE,FULL_BODY
STANDING_MARCH,Marcia in piedi,BAND,,False,WARM_UP,WARMUP_EX_LOWER,REPS|SECONDS,9jsUJPgUw6I,STANDING_MARCH,FULL_BODY|LEGS_AND_CORE
STANDING_SIDE_BEND,Side bend in piedi,KB,,True,CORE,UNILATERAL_CO,REPS,PkRvuQP_31Y,STANDING_SIDE_BEND,LEGS_AND_CORE
STANDING_SIDE_RAISE,Alzate laterali in stazione eretta,DB,,False,SHOULDERS,BILATERAL_SHLD,REPS,WuQ_ZQSrdbg,STANDING_SIDE_RAISE,FULL_BODY
STANDING_SINGLE_ARM_SHOULDER_PRESS,Shoulder press in piedi a braccio singolo,DB,,True,SHOULDERS,UNILATERAL_SHLD,REPS,L9VlR9yq904,STANDING_SINGLE_ARM_SHOULDER_PRESS,FULL_BODY
STATIC_LUNGE,Affondo statico,BARBELL,,True,QUADS,UNILATERAL_QUAD,REPS,WQqjTRecEMQ,STATIC_LUNGE,FULL_BODY|LEGS_AND_CORE
STEP_DOWN,Step Down,STEP,,True,GLUTES,UNILATERAL_GLUTE,REPS,d93bbZvxe_w,STEP_DOWN,FULL_BODY|LEGS_AND_CORE
STEP_UP,Step up,STEP,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,vOiHvzj5XhA,STEP_UP,FULL_BODY|LEGS_AND_CORE
STEP_UP_AND_KNEE_DRIVE,Step up con knee drive,BOX,,True,QUADS,UNILATERAL_QUAD,REPS,PemRK2kC_w8,STEP_UP_AND_KNEE_DRIVE,FULL_BODY|LEGS_AND_CORE
STRAIGHT_LEG_DEADLIFT,Stacco da terra a gambe tese,BARBELL,,False,HAMSTRING,BILATERAL_HAM,REPS,2fHE6zxftYw,STRAIGHT_LEG_DEADLIFT,FULL_BODY|LEGS_AND_CORE
STRAIGHT_LEG_RAISE,Straight Leg Raise,BW,,False,CORE,BILATERAL_CO,REPS,MGLFUBvbymI,STRAIGHT_LEG_RAISE,LEGS_AND_CORE
SUMO_DEADLIFT,Stacco sumo,BARBELL,,False,GLUTES,BILATERAL_GLUTE,REPS,1ltxpKdXkG4,SUMO_DEADLIFT,FULL_BODY|LEGS_AND_CORE
SWISSBALL_STIR_POT,Swiss Ball Stir the Pot,SWISSBALL,,False,CORE,BILATERAL_CO,REPS,Vt9au65_2yk,SWISSBALL_STIR_POT,FULL_BODY
THRUSTER,Thruster,DB,,False,FULL_BODY,BILATERAL_FB,REPS,z0PGxb8BSq8,THRUSTER,FULL_BODY|LEGS_AND_CORE
TOE_SCRUNCHES,Presa con le dita dei piedi,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,gTXwZTRuJYs,TOE_SCRUNCHES,FULL_BODY|LEGS_AND_CORE
TOE_WALKS,Camminata sull'avampiede,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,c_I-ui3PCrc,TOE_WALKS,LEGS_AND_CORE
TRAVELLING_PRESS_UP_WALK_OUT,Camminata con spostamento in avanti in posizione di press up,BW,,False,WARM_UP,WARMUP_EX_UPPER,SECONDS,quJm2ZZ4R1I,TRAVELLING_PRESS_UP_WALK_OUT,FULL_BODY|LEGS_AND_CORE
TRICEP_DIP,Piegamenti dei tricipiti o tricep dip,BOX,,False,CHEST,BILATERAL_CHEST,REPS,AE4xaqTICTA,TRICEP_DIP,FULL_BODY
WALKING_CALF_RAISES,Calf raise in camminata con carico,BW,,False,CALVES,BILATERAL_CALF,SECONDS,JAZlQCFqW7o,WALKING_CALF_RAISES_1,FULL_BODY|LEGS_AND_CORE
WALKING_LUNGE,Affondi in camminata,BW,,False,QUADS,BILATERAL_QUAD,REPS|SECONDS,vYfp2t4XgqQ,WALKING_LUNGE_2,FULL_BODY|LEGS_AND_CORE
WEIGHTED_DEADLIFT,Stacco da terra con pesi,KB,,False,QUADS,BILATERAL_QUAD,REPS,BP3uhdsMlS4,DEADLIFT_1,FULL_BODY
